,Sales,Date,Region
302,1680.0,2019-08-25,east
303,1524.0,2019-08-25,west
304,1515.0,2019-08-26,north
305,1704.0,2019-08-26,south
306,1653.0,2019-08-26,east
307,1554.0,2019-08-26,west
308,1644.0,2019-08-27,north
309,1674.0,2019-08-27,south
310,1665.0,2019-08-27,east
311,1755.0,2019-08-27,west
312,1566.0,2019-08-28,north
313,1659.0,2019-08-28,south
314,1515.0,2019-08-28,east
315,1779.0,2019-08-28,west
316,1572.0,2019-08-29,north
317,1770.0,2019-08-29,south
318,1632.0,2019-08-29,east
319,1677.0,2019-08-29,west
320,1755.0,2019-08-30,north
321,1527.0,2019-08-30,south
322,1623.0,2019-08-30,east
323,1668.0,2019-08-30,west
324,1683.0,2019-08-31,north
325,1698.0,2019-08-31,south
326,1749.0,2019-08-31,east
327,1632.0,2019-08-31,west
328,1785.0,2019-09-01,north
329,1707.0,2019-09-01,south
330,1518.0,2019-09-01,east
331,1563.0,2019-09-01,west
332,1701.0,2019-09-02,north
333,1605.0,2019-09-02,south
334,1596.0,2019-09-02,east
335,1605.0,2019-09-02,west
336,1716.0,2019-09-03,north
337,1569.0,2019-09-03,south
338,1725.0,2019-09-03,east
339,1542.0,2019-09-03,west
340,1692.0,2019-09-04,north
341,1560.0,2019-09-04,south
342,1515.0,2019-09-04,east
343,1653.0,2019-09-04,west
344,1629.0,2019-09-05,north
345,1668.0,2019-09-05,south
346,1698.0,2019-09-05,east
347,1677.0,2019-09-05,west
348,1503.0,2019-09-06,north
349,1776.0,2019-09-06,south
350,1509.0,2019-09-06,east
351,1665.0,2019-09-06,west
352,1683.0,2019-09-07,north
353,1530.0,2019-09-07,south
354,1782.0,2019-09-07,east
355,1584.0,2019-09-07,west
356,1743.0,2019-09-08,north
357,1551.0,2019-09-08,south
358,1620.0,2019-09-08,east
359,1791.0,2019-09-08,west
360,1674.0,2019-09-09,north
361,1797.0,2019-09-09,south
362,1773.0,2019-09-09,east
363,1596.0,2019-09-09,west
364,1617.0,2019-09-10,north
365,1764.0,2019-09-10,south
366,1632.0,2019-09-10,east
367,1506.0,2019-09-10,west
368,1533.0,2019-09-11,north
369,1677.0,2019-09-11,south
370,1746.0,2019-09-11,east
371,1668.0,2019-09-11,west
372,1797.0,2019-09-12,north
373,1545.0,2019-09-12,south
374,1701.0,2019-09-12,east
375,1578.0,2019-09-12,west
376,1626.0,2019-09-13,north
377,1512.0,2019-09-13,south
378,1788.0,2019-09-13,east
379,1671.0,2019-09-13,west
380,1728.0,2019-09-14,north
381,1653.0,2019-09-14,south
382,1644.0,2019-09-14,east
383,1734.0,2019-09-14,west
384,1746.0,2019-09-15,north
385,1524.0,2019-09-15,south
386,1611.0,2019-09-15,east
387,1626.0,2019-09-15,west
388,1668.0,2019-09-16,north
389,1734.0,2019-09-16,south
390,1797.0,2019-09-16,east
391,1725.0,2019-09-16,west
392,1656.0,2019-09-17,north
393,1530.0,2019-09-17,south
394,1695.0,2019-09-17,east
395,1656.0,2019-09-17,west
396,1797.0,2019-09-18,north
397,1515.0,2019-09-18,south
398,1638.0,2019-09-18,east
399,1797.0,2019-09-18,west
400,1800.0,2019-09-19,north
401,1560.0,2019-09-19,south
402,1506.0,2019-09-19,east
403,1581.0,2019-09-19,west
404,1515.0,2019-09-20,north
405,1527.0,2019-09-20,south
406,1758.0,2019-09-20,east
407,1638.0,2019-09-20,west
408,1605.0,2019-09-21,north
409,1716.0,2019-09-21,south
410,1569.0,2019-09-21,east
411,1674.0,2019-09-21,west
412,1632.0,2019-09-22,north
413,1734.0,2019-09-22,south
414,1530.0,2019-09-22,east
415,1689.0,2019-09-22,west
416,1641.0,2019-09-23,north
417,1779.0,2019-09-23,south
418,1659.0,2019-09-23,east
419,1797.0,2019-09-23,west
420,1767.0,2019-09-24,north
421,1755.0,2019-09-24,south
422,1602.0,2019-09-24,east
423,1524.0,2019-09-24,west
424,1794.0,2019-09-25,north
425,1626.0,2019-09-25,south
426,1617.0,2019-09-25,east
427,1773.0,2019-09-25,west
428,1719.0,2019-09-26,north
429,1509.0,2019-09-26,south
430,1686.0,2019-09-26,east
431,1668.0,2019-09-26,west
432,1731.0,2019-09-27,north
433,1590.0,2019-09-27,south
434,1728.0,2019-09-27,east
435,1722.0,2019-09-27,west
436,1548.0,2019-09-28,north
437,1599.0,2019-09-28,south
438,1605.0,2019-09-28,east
439,1671.0,2019-09-28,west
440,1512.0,2019-09-29,north
441,1650.0,2019-09-29,south
442,1614.0,2019-09-29,east
443,1674.0,2019-09-29,west
444,1638.0,2019-09-30,north
445,1731.0,2019-09-30,south
446,1716.0,2019-09-30,east
447,1566.0,2019-09-30,west
448,1707.0,2019-10-01,north
449,1554.0,2019-10-01,south
450,1632.0,2019-10-01,east
451,1584.0,2019-10-01,west
452,1653.0,2019-10-02,north
453,1770.0,2019-10-02,south
454,1758.0,2019-10-02,east
455,1569.0,2019-10-02,west
456,1797.0,2019-10-03,north
457,1551.0,2019-10-03,south
458,1677.0,2019-10-03,east
459,1599.0,2019-10-03,west
460,1512.0,2019-10-04,north
461,1635.0,2019-10-04,south
462,1749.0,2019-10-04,east
463,1689.0,2019-10-04,west
464,1614.0,2019-10-05,north
465,1527.0,2019-10-05,south
466,1521.0,2019-10-05,east
467,1725.0,2019-10-05,west
468,1587.0,2019-10-06,north
469,1701.0,2019-10-06,south
470,1566.0,2019-10-06,east
471,1752.0,2019-10-06,west
472,1668.0,2019-10-07,north
473,1686.0,2019-10-07,south
474,1611.0,2019-10-07,east
475,1569.0,2019-10-07,west
476,1599.0,2019-10-08,north
477,1539.0,2019-10-08,south
478,1611.0,2019-10-08,east
479,1605.0,2019-10-08,west
480,1680.0,2019-10-09,north
481,1704.0,2019-10-09,south
482,1689.0,2019-10-09,east
483,1644.0,2019-10-09,west
484,1701.0,2019-10-10,north
485,1560.0,2019-10-10,south
486,1791.0,2019-10-10,east
487,1698.0,2019-10-10,west
488,1539.0,2019-10-11,north
489,1542.0,2019-10-11,south
490,1704.0,2019-10-11,east
491,1728.0,2019-10-11,west
492,1590.0,2019-10-12,north
493,1743.0,2019-10-12,south
494,1569.0,2019-10-12,east
495,1722.0,2019-10-12,west
496,1545.0,2019-10-13,north
497,1533.0,2019-10-13,south
498,1674.0,2019-10-13,east
499,1704.0,2019-10-13,west
500,1524.0,2019-10-14,north
501,1578.0,2019-10-14,south
502,1692.0,2019-10-14,east
503,1635.0,2019-10-14,west
504,1782.0,2019-10-15,north
505,1587.0,2019-10-15,south
506,1638.0,2019-10-15,east
507,1752.0,2019-10-15,west
508,1542.0,2019-10-16,north
509,1608.0,2019-10-16,south
510,1683.0,2019-10-16,east
511,1596.0,2019-10-16,west
512,1527.0,2019-10-17,north
513,1737.0,2019-10-17,south
514,1671.0,2019-10-17,east
515,1662.0,2019-10-17,west
516,1518.0,2019-10-18,north
517,1746.0,2019-10-18,south
518,1590.0,2019-10-18,east
519,1710.0,2019-10-18,west
520,1647.0,2019-10-19,north
521,1737.0,2019-10-19,south
522,1761.0,2019-10-19,east
523,1587.0,2019-10-19,west
524,1701.0,2019-10-20,north
525,1524.0,2019-10-20,south
526,1677.0,2019-10-20,east
527,1725.0,2019-10-20,west
528,1653.0,2019-10-21,north
529,1686.0,2019-10-21,south
530,1698.0,2019-10-21,east
531,1560.0,2019-10-21,west
532,1515.0,2019-10-22,north
533,1734.0,2019-10-22,south
534,1551.0,2019-10-22,east
535,1713.0,2019-10-22,west
536,1758.0,2019-10-23,north
537,1644.0,2019-10-23,south
538,1758.0,2019-10-23,east
539,1641.0,2019-10-23,west
540,1617.0,2019-10-24,north
541,1611.0,2019-10-24,south
542,1788.0,2019-10-24,east
543,1602.0,2019-10-24,west
544,1638.0,2019-10-25,north
545,1620.0,2019-10-25,south
546,1665.0,2019-10-25,east
547,1500.0,2019-10-25,west
548,1671.0,2019-10-26,north
549,1566.0,2019-10-26,south
550,1740.0,2019-10-26,east
551,1599.0,2019-10-26,west
552,1710.0,2019-10-27,north
553,1668.0,2019-10-27,south
554,1740.0,2019-10-27,east
555,1698.0,2019-10-27,west
556,1503.0,2019-10-28,north
557,1689.0,2019-10-28,south
558,1626.0,2019-10-28,east
559,1674.0,2019-10-28,west
560,1542.0,2019-10-29,north
561,1692.0,2019-10-29,south
562,1719.0,2019-10-29,east
563,1512.0,2019-10-29,west
564,1731.0,2019-10-30,north
565,1644.0,2019-10-30,south
566,1746.0,2019-10-30,east
567,1689.0,2019-10-30,west
568,1800.0,2019-10-31,north
569,1527.0,2019-10-31,south
570,1533.0,2019-10-31,east
571,1800.0,2019-10-31,west
572,1644.0,2019-11-01,north
573,1500.0,2019-11-01,south
574,1800.0,2019-11-01,east
575,1767.0,2019-11-01,west
576,1791.0,2019-11-02,north
577,1776.0,2019-11-02,south
578,1596.0,2019-11-02,east
579,1734.0,2019-11-02,west
580,1542.0,2019-11-03,north
581,1608.0,2019-11-03,south
582,1617.0,2019-11-03,east
583,1623.0,2019-11-03,west
584,1674.0,2019-11-04,north
585,1782.0,2019-11-04,south
586,1680.0,2019-11-04,east
587,1512.0,2019-11-04,west
588,1500.0,2019-11-05,north
589,1668.0,2019-11-05,south
590,1758.0,2019-11-05,east
591,1533.0,2019-11-05,west
592,1785.0,2019-11-06,north
593,1533.0,2019-11-06,south
594,1659.0,2019-11-06,east
595,1506.0,2019-11-06,west
596,1656.0,2019-11-07,north
597,1728.0,2019-11-07,south
598,1728.0,2019-11-07,east
599,1713.0,2019-11-07,west
600,1797.0,2019-11-08,north
601,1686.0,2019-11-08,south
602,1584.0,2019-11-08,east
603,1713.0,2019-11-08,west
604,1665.0,2019-11-09,north
605,1557.0,2019-11-09,south
606,1656.0,2019-11-09,east
607,1767.0,2019-11-09,west
608,1515.0,2019-11-10,north
609,1761.0,2019-11-10,south
610,1767.0,2019-11-10,east
611,1641.0,2019-11-10,west
612,1584.0,2019-11-11,north
613,1545.0,2019-11-11,south
614,1695.0,2019-11-11,east
615,1761.0,2019-11-11,west
616,1701.0,2019-11-12,north
617,1767.0,2019-11-12,south
618,1632.0,2019-11-12,east
619,1704.0,2019-11-12,west
620,1599.0,2019-11-13,north
621,1509.0,2019-11-13,south
622,1728.0,2019-11-13,east
623,1683.0,2019-11-13,west
624,1740.0,2019-11-14,north
625,1626.0,2019-11-14,south
626,1572.0,2019-11-14,east
627,1716.0,2019-11-14,west
628,1641.0,2019-11-15,north
629,1560.0,2019-11-15,south
630,1614.0,2019-11-15,east
631,1605.0,2019-11-15,west
632,1503.0,2019-11-16,north
633,1638.0,2019-11-16,south
634,1662.0,2019-11-16,east
635,1653.0,2019-11-16,west
636,1734.0,2019-11-17,north
637,1599.0,2019-11-17,south
638,1515.0,2019-11-17,east
639,1608.0,2019-11-17,west
640,1566.0,2019-11-18,north
641,1734.0,2019-11-18,south
642,1719.0,2019-11-18,east
643,1773.0,2019-11-18,west
644,1791.0,2019-11-19,north
645,1779.0,2019-11-19,south
646,1641.0,2019-11-19,east
647,1617.0,2019-11-19,west
648,1533.0,2019-11-20,north
649,1527.0,2019-11-20,south
650,1512.0,2019-11-20,east
651,1515.0,2019-11-20,west
652,1734.0,2019-11-21,north
653,1668.0,2019-11-21,south
654,1665.0,2019-11-21,east
655,1644.0,2019-11-21,west
656,1767.0,2019-11-22,north
657,1647.0,2019-11-22,south
658,1665.0,2019-11-22,east
659,1776.0,2019-11-22,west
660,1665.0,2019-11-23,north
661,1632.0,2019-11-23,south
662,1521.0,2019-11-23,east
663,1659.0,2019-11-23,west
664,1623.0,2019-11-24,north
665,1698.0,2019-11-24,south
666,1596.0,2019-11-24,east
667,1674.0,2019-11-24,west
668,1749.0,2019-11-25,north
669,1536.0,2019-11-25,south
670,1734.0,2019-11-25,east
671,1716.0,2019-11-25,west
672,1599.0,2019-11-26,north
673,1500.0,2019-11-26,south
674,1518.0,2019-11-26,east
675,1584.0,2019-11-26,west
676,1551.0,2019-11-27,north
677,1701.0,2019-11-27,south
678,1689.0,2019-11-27,east
679,1746.0,2019-11-27,west
680,1725.0,2019-11-28,north
681,1776.0,2019-11-28,south
682,1707.0,2019-11-28,east
683,1794.0,2019-11-28,west
684,1641.0,2019-11-29,north
685,1653.0,2019-11-29,south
686,1716.0,2019-11-29,east
687,1776.0,2019-11-29,west
688,1797.0,2019-11-30,north
689,1782.0,2019-11-30,south
690,1653.0,2019-11-30,east
691,1596.0,2019-11-30,west
692,1704.0,2019-12-01,north
693,1626.0,2019-12-01,south
694,1617.0,2019-12-01,east
695,1680.0,2019-12-01,west
696,1608.0,2019-12-02,north
697,1713.0,2019-12-02,south
698,1632.0,2019-12-02,east
699,1680.0,2019-12-02,west
700,1791.0,2019-12-03,north
701,1761.0,2019-12-03,south
702,1749.0,2019-12-03,east
703,1626.0,2019-12-03,west
704,1773.0,2019-12-04,north
705,1623.0,2019-12-04,south
706,1662.0,2019-12-04,east
707,1731.0,2019-12-04,west
708,1755.0,2019-12-05,north
709,1602.0,2019-12-05,south
710,1740.0,2019-12-05,east
711,1605.0,2019-12-05,west
712,1680.0,2019-12-06,north
713,1572.0,2019-12-06,south
714,1542.0,2019-12-06,east
715,1779.0,2019-12-06,west
716,1671.0,2019-12-07,north
717,1722.0,2019-12-07,south
718,1728.0,2019-12-07,east
719,1659.0,2019-12-07,west
720,1770.0,2019-12-08,north
721,1632.0,2019-12-08,south
722,1536.0,2019-12-08,east
723,1734.0,2019-12-08,west
724,1584.0,2019-12-09,north
725,1713.0,2019-12-09,south
726,1728.0,2019-12-09,east
727,1725.0,2019-12-09,west
728,1506.0,2019-12-10,north
729,1503.0,2019-12-10,south
730,1521.0,2019-12-10,east
731,1713.0,2019-12-10,west
732,1635.0,2019-12-11,north
733,1506.0,2019-12-11,south
734,1542.0,2019-12-11,east
735,1551.0,2019-12-11,west
736,1623.0,2019-12-12,north
737,1719.0,2019-12-12,south
738,1563.0,2019-12-12,east
739,1791.0,2019-12-12,west
740,1800.0,2019-12-13,north
741,1800.0,2019-12-13,south
742,1740.0,2019-12-13,east
743,1755.0,2019-12-13,west
744,1716.0,2019-12-14,north
745,1632.0,2019-12-14,south
746,1599.0,2019-12-14,east
747,1632.0,2019-12-14,west
748,1725.0,2019-12-15,north
749,1743.0,2019-12-15,south
750,1587.0,2019-12-15,east
751,1608.0,2019-12-15,west
752,1662.0,2019-12-16,north
753,1791.0,2019-12-16,south
754,1773.0,2019-12-16,east
755,1650.0,2019-12-16,west
756,1518.0,2019-12-17,north
757,1749.0,2019-12-17,south
758,1689.0,2019-12-17,east
759,1533.0,2019-12-17,west
760,1533.0,2019-12-18,north
761,1641.0,2019-12-18,south
762,1590.0,2019-12-18,east
763,1740.0,2019-12-18,west
764,1665.0,2019-12-19,north
765,1773.0,2019-12-19,south
766,1503.0,2019-12-19,east
767,1542.0,2019-12-19,west
768,1788.0,2019-12-20,north
769,1773.0,2019-12-20,south
770,1788.0,2019-12-20,east
771,1785.0,2019-12-20,west
772,1605.0,2019-12-21,north
773,1701.0,2019-12-21,south
774,1626.0,2019-12-21,east
775,1623.0,2019-12-21,west
776,1671.0,2019-12-22,north
777,1629.0,2019-12-22,south
778,1725.0,2019-12-22,east
779,1557.0,2019-12-22,west
780,1671.0,2019-12-23,north
781,1662.0,2019-12-23,south
782,1674.0,2019-12-23,east
783,1671.0,2019-12-23,west
784,1620.0,2019-12-24,north
785,1716.0,2019-12-24,south
786,1674.0,2019-12-24,east
787,1686.0,2019-12-24,west
788,1752.0,2019-12-25,north
789,1725.0,2019-12-25,south
790,1545.0,2019-12-25,east
791,1506.0,2019-12-25,west
792,1539.0,2019-12-26,north
793,1716.0,2019-12-26,south
794,1500.0,2019-12-26,east
795,1794.0,2019-12-26,west
796,1716.0,2019-12-27,north
797,1665.0,2019-12-27,south
798,1557.0,2019-12-27,east
799,1620.0,2019-12-27,west
800,1779.0,2019-12-28,north
801,1779.0,2019-12-28,south
802,1752.0,2019-12-28,east
803,1773.0,2019-12-28,west
804,1800.0,2019-12-29,north
805,1773.0,2019-12-29,south
806,1767.0,2019-12-29,east
807,1683.0,2019-12-29,west
808,1542.0,2019-12-30,north
809,1728.0,2019-12-30,south
810,1569.0,2019-12-30,east
811,1659.0,2019-12-30,west
812,1581.0,2019-12-31,north
813,1713.0,2019-12-31,south
814,1533.0,2019-12-31,east
815,1692.0,2019-12-31,west
816,1506.0,2020-01-01,north
817,1659.0,2020-01-01,south
818,1719.0,2020-01-01,east
819,1704.0,2020-01-01,west
820,1767.0,2020-01-02,north
821,1542.0,2020-01-02,south
822,1542.0,2020-01-02,east
823,1629.0,2020-01-02,west
824,1659.0,2020-01-03,north
825,1539.0,2020-01-03,south
826,1734.0,2020-01-03,east
827,1761.0,2020-01-03,west
828,1560.0,2020-01-04,north
829,1767.0,2020-01-04,south
830,1791.0,2020-01-04,east
831,1632.0,2020-01-04,west
832,1716.0,2020-01-05,north
833,1536.0,2020-01-05,south
834,1662.0,2020-01-05,east
835,1680.0,2020-01-05,west
836,1689.0,2020-01-06,north
837,1779.0,2020-01-06,south
838,1512.0,2020-01-06,east
839,1578.0,2020-01-06,west
840,1560.0,2020-01-07,north
841,1581.0,2020-01-07,south
842,1677.0,2020-01-07,east
843,1599.0,2020-01-07,west
844,1713.0,2020-01-08,north
845,1800.0,2020-01-08,south
846,1767.0,2020-01-08,east
847,1752.0,2020-01-08,west
848,1509.0,2020-01-09,north
849,1539.0,2020-01-09,south
850,1671.0,2020-01-09,east
851,1668.0,2020-01-09,west
852,1692.0,2020-01-10,north
853,1584.0,2020-01-10,south
854,1710.0,2020-01-10,east
855,1686.0,2020-01-10,west
856,1617.0,2020-01-11,north
857,1665.0,2020-01-11,south
858,1722.0,2020-01-11,east
859,1551.0,2020-01-11,west
860,1620.0,2020-01-12,north
861,1791.0,2020-01-12,south
862,1662.0,2020-01-12,east
863,1656.0,2020-01-12,west
864,1644.0,2020-01-13,north
865,1659.0,2020-01-13,south
866,1740.0,2020-01-13,east
867,1668.0,2020-01-13,west
868,1566.0,2020-01-14,north
869,1575.0,2020-01-14,south
870,1566.0,2020-01-14,east
871,1578.0,2020-01-14,west
872,1737.0,2020-01-15,north
